"","Age","Employment.Type","GraduateOrNot","AnnualIncome","FamilyMembers","ChronicDiseases","FrequentFlyer","EverTravelledAbroad","TravelInsurance"
"219",26,"Private Sector/Self Employed","Yes",1500000,7,0,"Yes","Yes",0
"220",31,"Private Sector/Self Employed","Yes",1250000,9,1,"No","No",0
"221",35,"Private Sector/Self Employed","No",800000,2,0,"No","No",0
"222",28,"Private Sector/Self Employed","Yes",1200000,6,1,"No","No",0
"223",28,"Private Sector/Self Employed","Yes",1200000,3,0,"No","No",0
"224",30,"Private Sector/Self Employed","No",650000,3,0,"No","No",0
"225",31,"Private Sector/Self Employed","Yes",1100000,5,0,"Yes","No",0
"226",31,"Private Sector/Self Employed","Yes",1250000,2,0,"No","No",0
"227",34,"Government Sector","Yes",1300000,9,1,"No","No",1
"228",34,"Private Sector/Self Employed","Yes",1300000,6,1,"No","No",0
"229",34,"Private Sector/Self Employed","Yes",1000000,5,0,"No","No",0
"230",34,"Private Sector/Self Employed","Yes",1000000,2,0,"No","No",0
"231",29,"Private Sector/Self Employed","Yes",900000,7,0,"Yes","No",0
"232",31,"Government Sector","Yes",1200000,5,1,"No","No",0
"233",28,"Private Sector/Self Employed","Yes",1250000,6,0,"No","No",0
"234",31,"Government Sector","Yes",1200000,6,1,"No","No",0
"235",34,"Private Sector/Self Employed","Yes",1300000,4,0,"No","No",0
"236",30,"Private Sector/Self Employed","No",550000,4,0,"No","No",0
"237",26,"Private Sector/Self Employed","Yes",1500000,5,0,"Yes","Yes",1
"238",30,"Private Sector/Self Employed","No",500000,8,0,"No","No",0
"239",29,"Private Sector/Self Employed","Yes",600000,3,1,"No","No",0
"240",26,"Private Sector/Self Employed","Yes",1250000,5,0,"No","No",0
"241",27,"Private Sector/Self Employed","No",350000,7,0,"No","No",0
"242",35,"Private Sector/Self Employed","No",800000,6,0,"No","No",1
"243",33,"Government Sector","Yes",400000,4,0,"No","No",0
"244",26,"Private Sector/Self Employed","Yes",750000,6,0,"No","No",0
"245",27,"Government Sector","Yes",500000,4,0,"No","No",0
"246",28,"Private Sector/Self Employed","Yes",1150000,3,0,"No","No",0
"247",31,"Government Sector","No",350000,6,1,"No","No",0
"248",27,"Government Sector","Yes",1050000,3,0,"Yes","No",1
"249",34,"Government Sector","Yes",1300000,6,0,"No","No",1
"250",28,"Private Sector/Self Employed","Yes",1150000,5,0,"No","No",0
"251",34,"Private Sector/Self Employed","Yes",1000000,6,1,"No","No",1
"253",29,"Private Sector/Self Employed","Yes",1350000,5,1,"No","Yes",1
"254",28,"Private Sector/Self Employed","Yes",1400000,2,0,"No","Yes",1
"255",28,"Government Sector","Yes",1200000,5,0,"No","No",0
"256",34,"Private Sector/Self Employed","Yes",1500000,5,0,"Yes","Yes",1
"257",34,"Government Sector","Yes",1300000,7,1,"No","Yes",1
"258",33,"Private Sector/Self Employed","Yes",550000,5,0,"No","No",1
"259",29,"Private Sector/Self Employed","Yes",900000,7,0,"Yes","No",0
"260",33,"Government Sector","Yes",400000,3,1,"No","No",1
"261",26,"Private Sector/Self Employed","Yes",1400000,3,1,"No","Yes",1
"262",28,"Private Sector/Self Employed","Yes",1100000,4,1,"No","No",1
"264",35,"Private Sector/Self Employed","No",800000,4,0,"No","No",0
"265",29,"Private Sector/Self Employed","Yes",350000,9,1,"No","No",0
"266",27,"Government Sector","Yes",850000,6,0,"Yes","No",0
"267",31,"Government Sector","Yes",400000,5,0,"No","No",0
"268",33,"Government Sector","Yes",1100000,4,0,"No","No",1
"269",34,"Private Sector/Self Employed","Yes",500000,6,0,"No","No",1
"270",27,"Private Sector/Self Employed","No",800000,5,0,"No","No",0
"271",34,"Government Sector","Yes",1300000,6,0,"No","Yes",1
"272",35,"Government Sector","Yes",900000,3,1,"No","No",0
"273",28,"Private Sector/Self Employed","Yes",700000,3,1,"No","No",0
"274",34,"Private Sector/Self Employed","Yes",1000000,6,0,"Yes","No",1
"275",32,"Government Sector","Yes",850000,7,0,"No","No",1
"276",26,"Private Sector/Self Employed","Yes",1400000,4,1,"No","Yes",1
"277",29,"Private Sector/Self Employed","Yes",1050000,6,0,"No","No",0
"278",31,"Private Sector/Self Employed","Yes",950000,7,0,"Yes","No",0
"279",32,"Government Sector","Yes",800000,5,1,"No","No",1
"280",32,"Government Sector","Yes",350000,6,0,"No","No",0
"281",32,"Government Sector","Yes",800000,6,0,"Yes","No",0
"282",26,"Private Sector/Self Employed","Yes",750000,6,0,"No","No",0
"283",26,"Private Sector/Self Employed","Yes",1400000,4,0,"No","Yes",1
"284",26,"Private Sector/Self Employed","Yes",600000,4,0,"Yes","No",0
"285",28,"Private Sector/Self Employed","Yes",750000,3,0,"No","No",1
"286",33,"Private Sector/Self Employed","Yes",750000,4,0,"No","No",0
"287",28,"Private Sector/Self Employed","Yes",600000,3,0,"No","No",0
"288",29,"Private Sector/Self Employed","Yes",1200000,4,0,"No","No",0
"289",29,"Private Sector/Self Employed","Yes",1100000,4,0,"No","No",0
"290",26,"Private Sector/Self Employed","Yes",500000,3,0,"No","No",0
"291",32,"Government Sector","Yes",900000,6,1,"No","No",0
"292",34,"Private Sector/Self Employed","Yes",1300000,3,0,"Yes","No",0
"293",27,"Government Sector","Yes",850000,4,0,"No","No",0
"294",31,"Private Sector/Self Employed","Yes",1250000,3,0,"No","No",1
"295",29,"Private Sector/Self Employed","Yes",1200000,4,0,"No","No",0
"296",28,"Private Sector/Self Employed","Yes",550000,5,0,"No","No",0
"298",35,"Private Sector/Self Employed","No",800000,7,1,"No","No",1
"299",25,"Private Sector/Self Employed","No",1700000,4,0,"Yes","No",1
"300",27,"Private Sector/Self Employed","No",450000,3,0,"No","No",0
"301",32,"Government Sector","Yes",900000,5,1,"No","No",1
"302",27,"Government Sector","Yes",850000,4,1,"No","No",0
"303",34,"Private Sector/Self Employed","Yes",700000,6,0,"No","No",1
"304",31,"Government Sector","No",300000,3,0,"No","No",0
"305",34,"Private Sector/Self Employed","Yes",1050000,3,0,"No","No",0
"306",26,"Private Sector/Self Employed","Yes",1250000,4,1,"No","Yes",0
"307",33,"Government Sector","Yes",650000,5,1,"No","No",1
"308",28,"Private Sector/Self Employed","Yes",1150000,8,1,"No","No",0
"309",34,"Private Sector/Self Employed","Yes",1000000,9,1,"No","No",0
"310",33,"Government Sector","Yes",650000,4,0,"No","No",1
"311",30,"Private Sector/Self Employed","No",550000,8,0,"No","No",0
"312",34,"Private Sector/Self Employed","Yes",1500000,7,0,"Yes","Yes",1
"313",32,"Government Sector","Yes",850000,7,0,"No","No",0
"314",25,"Private Sector/Self Employed","No",1150000,4,0,"No","No",1
"315",26,"Private Sector/Self Employed","Yes",1400000,5,0,"No","Yes",1
"317",31,"Private Sector/Self Employed","Yes",950000,5,1,"No","No",0
"318",32,"Government Sector","Yes",800000,6,0,"No","No",1
"319",34,"Government Sector","Yes",1100000,3,0,"No","No",1
"320",25,"Private Sector/Self Employed","Yes",1700000,2,1,"Yes","No",1
"321",35,"Private Sector/Self Employed","No",800000,5,0,"No","No",0
"322",28,"Private Sector/Self Employed","Yes",500000,3,0,"No","No",0
"323",28,"Private Sector/Self Employed","Yes",750000,3,0,"No","No",0
"324",33,"Private Sector/Self Employed","Yes",1400000,5,0,"No","Yes",1
"325",28,"Government Sector","Yes",300000,5,0,"No","No",0
"326",31,"Private Sector/Self Employed","Yes",1250000,4,0,"No","No",0
"327",28,"Private Sector/Self Employed","Yes",1150000,5,0,"No","No",0
"328",34,"Government Sector","Yes",1300000,3,0,"No","No",0
"329",34,"Private Sector/Self Employed","Yes",700000,6,0,"Yes","Yes",1
"330",28,"Private Sector/Self Employed","Yes",1100000,8,0,"No","No",0
"331",35,"Private Sector/Self Employed","No",800000,4,0,"No","No",0
"332",33,"Private Sector/Self Employed","Yes",550000,4,0,"No","No",1
"334",31,"Private Sector/Self Employed","Yes",1400000,6,1,"No","Yes",0
"335",29,"Private Sector/Self Employed","Yes",1050000,3,0,"No","No",1
"336",28,"Private Sector/Self Employed","Yes",800000,2,0,"No","No",1
"337",32,"Government Sector","Yes",350000,9,1,"No","No",0
"338",30,"Private Sector/Self Employed","No",550000,7,0,"Yes","No",0
"340",29,"Private Sector/Self Employed","Yes",1050000,5,0,"No","No",0
"341",27,"Private Sector/Self Employed","No",800000,7,1,"No","No",0
"342",28,"Private Sector/Self Employed","Yes",550000,7,0,"No","No",0
"343",28,"Private Sector/Self Employed","Yes",1100000,2,0,"No","No",1
"344",28,"Private Sector/Self Employed","Yes",1250000,7,0,"No","No",0
"345",32,"Government Sector","Yes",800000,4,0,"Yes","Yes",0
"346",29,"Private Sector/Self Employed","Yes",1200000,5,0,"No","Yes",0
"347",25,"Private Sector/Self Employed","Yes",1800000,7,1,"Yes","No",1
"348",34,"Private Sector/Self Employed","Yes",1300000,6,0,"Yes","No",0
"349",31,"Private Sector/Self Employed","Yes",1400000,6,1,"No","Yes",0
"350",28,"Private Sector/Self Employed","Yes",500000,3,0,"No","No",0
"351",31,"Private Sector/Self Employed","Yes",950000,5,0,"Yes","Yes",0
"352",29,"Private Sector/Self Employed","Yes",1200000,9,1,"Yes","No",0
"353",31,"Private Sector/Self Employed","Yes",1350000,6,0,"No","Yes",1
"355",25,"Private Sector/Self Employed","No",1150000,5,0,"No","No",1
"356",28,"Private Sector/Self Employed","Yes",1400000,3,0,"No","Yes",1
"357",34,"Private Sector/Self Employed","Yes",1000000,4,0,"No","No",0
"358",34,"Private Sector/Self Employed","Yes",500000,5,0,"No","No",0
"359",34,"Private Sector/Self Employed","Yes",1000000,5,0,"Yes","No",0
"360",25,"Private Sector/Self Employed","No",1150000,3,0,"No","No",0
"362",29,"Private Sector/Self Employed","Yes",1350000,4,0,"No","Yes",1
"363",28,"Private Sector/Self Employed","Yes",700000,2,1,"No","No",0
"364",34,"Government Sector","Yes",1300000,4,0,"No","No",0
"365",31,"Government Sector","Yes",1200000,6,0,"No","No",0
"366",25,"Private Sector/Self Employed","No",1700000,3,0,"Yes","No",1
"367",28,"Government Sector","Yes",300000,3,0,"No","No",0
"368",31,"Government Sector","Yes",1300000,4,0,"No","No",0
"369",35,"Private Sector/Self Employed","No",800000,3,0,"No","No",1
"370",32,"Government Sector","Yes",800000,7,1,"No","No",0
"371",31,"Government Sector","Yes",1300000,6,0,"No","No",1
"372",27,"Government Sector","Yes",900000,5,1,"No","Yes",0
"373",29,"Private Sector/Self Employed","Yes",350000,5,1,"No","No",0
"374",28,"Private Sector/Self Employed","Yes",900000,5,0,"Yes","No",0
"375",28,"Government Sector","Yes",600000,7,0,"No","No",0
"376",28,"Private Sector/Self Employed","Yes",1100000,6,1,"No","No",0
"378",27,"Private Sector/Self Employed","No",1550000,4,0,"Yes","No",1
"379",25,"Private Sector/Self Employed","Yes",1700000,5,0,"Yes","No",1
"380",27,"Private Sector/Self Employed","No",1550000,6,0,"Yes","No",1
"382",29,"Private Sector/Self Employed","Yes",1200000,5,0,"No","No",0
"383",31,"Private Sector/Self Employed","Yes",1400000,6,0,"No","Yes",1
"384",29,"Private Sector/Self Employed","Yes",1100000,4,0,"No","No",0
"385",33,"Government Sector","Yes",600000,3,0,"No","Yes",0
"386",34,"Private Sector/Self Employed","Yes",1000000,5,0,"No","No",0
"387",28,"Private Sector/Self Employed","Yes",1350000,5,0,"No","Yes",1
"388",28,"Government Sector","Yes",300000,5,0,"No","No",0
"389",28,"Private Sector/Self Employed","Yes",550000,5,0,"No","No",0
"390",31,"Private Sector/Self Employed","Yes",1350000,5,0,"No","Yes",1
"391",33,"Private Sector/Self Employed","Yes",550000,5,0,"No","No",1
"392",28,"Government Sector","Yes",1200000,5,0,"No","No",1
"393",31,"Private Sector/Self Employed","Yes",950000,4,1,"No","No",1
"394",29,"Private Sector/Self Employed","Yes",1050000,3,0,"Yes","No",0
"395",28,"Private Sector/Self Employed","Yes",1200000,4,0,"No","No",1
"396",32,"Government Sector","Yes",800000,5,0,"No","No",0
"397",33,"Government Sector","Yes",650000,6,1,"No","No",1
"398",25,"Government Sector","Yes",750000,5,0,"No","No",0
"399",28,"Private Sector/Self Employed","Yes",1250000,5,0,"Yes","No",0
"400",35,"Private Sector/Self Employed","No",800000,5,0,"No","No",0
"401",29,"Private Sector/Self Employed","Yes",1200000,4,0,"Yes","No",0
"404",28,"Private Sector/Self Employed","Yes",800000,8,1,"No","No",0
"405",33,"Government Sector","Yes",650000,5,1,"No","No",1
"406",32,"Government Sector","Yes",850000,6,0,"No","No",0
"407",28,"Private Sector/Self Employed","Yes",1200000,9,0,"No","No",1
"408",25,"Private Sector/Self Employed","No",1700000,6,0,"Yes","No",1
"409",31,"Government Sector","No",350000,2,0,"No","No",0
"410",28,"Private Sector/Self Employed","Yes",700000,5,0,"No","No",0
"411",28,"Private Sector/Self Employed","No",550000,4,0,"No","No",0
"412",28,"Government Sector","Yes",600000,6,0,"No","No",0
"413",28,"Government Sector","Yes",300000,7,1,"No","No",0
"414",25,"Private Sector/Self Employed","Yes",1700000,5,0,"Yes","No",1
"415",33,"Private Sector/Self Employed","Yes",1400000,4,0,"No","Yes",1
